,Average Fitness,Best Individual,Fitness Best,Fitness Worst
168,837.36,[1 1 0 ... 1 1 1],845,833
169,838.25,[1 1 0 ... 1 1 1],845,834
170,838.6,[1 1 0 ... 1 1 1],845,834
171,839.28,[1 1 0 ... 1 1 1],845,834
172,840.08,[1 1 0 ... 1 1 1],845,834
173,840.88,[1 1 0 ... 1 1 1],846,836
174,841.73,[1 1 0 ... 1 1 1],848,836
175,842.04,[1 1 0 ... 1 1 1],848,836
176,843.02,[1 1 0 ... 1 1 1],848,839
177,843.45,[1 1 0 ... 1 1 1],850,839
178,843.99,[1 1 0 ... 1 1 1],850,840
179,844.62,[1 1 0 ... 1 1 1],850,840
180,845.12,[1 1 0 ... 1 1 1],850,841
181,845.53,[1 1 0 ... 1 1 1],852,841
182,846.19,[1 1 0 ... 1 1 1],852,841
183,846.8,[1 1 0 ... 1 1 1],852,841
184,847.47,[1 1 0 ... 1 1 1],853,841
185,847.8,[1 1 0 ... 1 1 1],853,841
186,848.44,[1 1 0 ... 1 1 1],855,841
187,849.29,[1 1 0 ... 1 1 1],855,841
188,850.22,[1 1 0 ... 1 1 1],855,841
189,851.51,[1 1 0 ... 1 1 1],857,843
190,852.38,[1 1 0 ... 1 1 1],857,845
191,853.72,[1 1 0 ... 1 1 1],860,848
192,854.26,[1 1 0 ... 1 1 1],861,848
193,854.99,[1 1 0 ... 1 1 1],861,850
194,855.88,[1 1 0 ... 1 1 1],861,850
195,856.58,[1 1 0 ... 1 1 1],860,850
196,856.89,[1 1 0 ... 1 1 1],860,850
197,857.27,[1 1 0 ... 1 1 1],860,850
198,857.81,[1 1 0 ... 1 1 1],862,854
199,858.54,[1 1 0 ... 1 1 1],864,854
200,859.14,[1 1 0 ... 1 1 1],864,854
201,859.8,[1 1 0 ... 1 1 1],865,856
202,860.34,[1 1 0 ... 1 1 1],864,856
203,860.82,[1 1 0 ... 1 1 1],864,858
204,861.17,[1 1 0 ... 1 1 1],865,858
205,861.64,[1 1 0 ... 1 1 1],865,858
206,862.29,[1 1 0 ... 1 1 1],865,858
207,862.91,[1 1 1 ... 1 1 1],868,860
208,863.42,[1 1 1 ... 1 1 1],868,861
209,863.91,[1 1 0 ... 1 1 1],868,861
210,865.01,[1 1 0 ... 1 1 1],868,862
211,865.42,[1 1 1 ... 1 1 1],870,862
212,865.91,[1 1 0 ... 1 1 1],871,863
213,866.38,[1 1 0 ... 1 1 1],871,863
214,866.8,[1 1 0 ... 1 1 1],871,863
215,867.48,[1 1 0 ... 1 1 1],871,863
216,868.29,[1 1 1 ... 1 1 1],873,864
217,868.86,[1 1 1 ... 1 1 1],873,864
218,869.33,[1 1 1 ... 1 1 1],874,864
219,870.17,[1 1 0 ... 1 1 1],875,865
220,870.87,[1 1 1 ... 1 1 1],877,867
221,871.29,[1 1 1 ... 1 1 1],876,868
222,872.03,[1 1 1 ... 1 1 1],877,868
223,872.71,[1 1 1 ... 1 1 1],877,868
224,873.28,[1 1 1 ... 1 1 1],878,869
225,874.1,[1 1 1 ... 1 1 1],878,870
226,875.06,[1 1 1 ... 1 1 1],880,870
227,875.62,[1 1 1 ... 1 1 1],880,871
228,876.23,[1 1 1 ... 1 1 1],880,871
229,876.82,[1 1 1 ... 1 1 1],881,872
230,877.57,[1 1 1 ... 1 1 1],882,872
231,878.3,[1 1 1 ... 1 1 1],882,873
232,879.01,[1 1 1 ... 1 1 1],884,874
233,879.29,[1 1 1 ... 1 1 1],882,875
234,879.7,[1 1 1 ... 1 1 1],884,876
