mu,nu,psi,H,Combination
0.0,0.1,0.6,0.12565974765513654,Immune-Susceptible
0.0,0.1,0.6,0.3410074851177846,Immune-Highly Susceptible
0.0,0.1,0.6,0.3272407820926591,Susceptible-Highly Susceptible
0.0,0.1,0.65,0.16810244308918176,Immune-Susceptible
0.0,0.1,0.65,0.343192874101859,Immune-Highly Susceptible
0.0,0.1,0.65,0.33844192275345886,Susceptible-Highly Susceptible
0.0,0.1,0.7,0.17591645674027154,Immune-Susceptible
0.0,0.1,0.7,0.3501403421658044,Immune-Highly Susceptible
0.0,0.1,0.7,0.34139437046309845,Susceptible-Highly Susceptible
0.0,0.1,0.75,0.20196596064185066,Immune-Susceptible
0.0,0.1,0.75,0.4068380710934845,Immune-Highly Susceptible
0.0,0.1,0.75,0.3896143567713124,Susceptible-Highly Susceptible
0.0,0.1,0.8,0.18511598196748927,Immune-Susceptible
0.0,0.1,0.8,0.3892637052435147,Immune-Highly Susceptible
0.0,0.1,0.8,0.3670919697037249,Susceptible-Highly Susceptible
0.0,0.1,0.85,0.21438905420059717,Immune-Susceptible
0.0,0.1,0.85,0.44399770707192915,Immune-Highly Susceptible
0.0,0.1,0.85,0.40515197575331335,Susceptible-Highly Susceptible
0.0,0.1,0.9,0.2333923239486151,Immune-Susceptible
0.0,0.1,0.9,0.46881959294700204,Immune-Highly Susceptible
0.0,0.1,0.9,0.39774027886028795,Susceptible-Highly Susceptible
0.0,0.1,0.95,0.2751484430888445,Immune-Susceptible
0.0,0.1,0.95,0.4964491972874214,Immune-Highly Susceptible
0.0,0.1,0.95,0.4383142256884238,Susceptible-Highly Susceptible
0.0,0.1,1.0,0.08575746040208981,Immune-Susceptible
0.0,0.1,1.0,0.14153538892241813,Immune-Highly Susceptible
0.0,0.1,1.0,0.1281676100599501,Susceptible-Highly Susceptible
0.0,0.15,0.0,0.13022068484283567,Immune-Susceptible
0.0,0.15,0.0,0.27256107540093555,Immune-Highly Susceptible
0.0,0.15,0.0,0.2676139682299302,Susceptible-Highly Susceptible
0.0,0.15,0.05,0.1530370626351186,Immune-Susceptible
0.0,0.15,0.05,0.27454649008212034,Immune-Highly Susceptible
0.0,0.15,0.05,0.2749442919803491,Susceptible-Highly Susceptible
