mu,nu,psi,H,Combination
0.0,0.1,0.0,0.1291406998520945,Immune-Susceptible
0.0,0.1,0.0,0.2708719170446101,Immune-Highly Susceptible
0.0,0.1,0.0,0.2644665564337625,Susceptible-Highly Susceptible
0.0,0.1,0.05,0.11563645297500415,Immune-Susceptible
0.0,0.1,0.05,0.2825638926614662,Immune-Highly Susceptible
0.0,0.1,0.05,0.28206932279185737,Susceptible-Highly Susceptible
0.0,0.1,0.1,0.11248056568463925,Immune-Susceptible
0.0,0.1,0.1,0.25200472577847755,Immune-Highly Susceptible
0.0,0.1,0.1,0.2592138699247102,Susceptible-Highly Susceptible
0.0,0.1,0.15,0.13074012704053126,Immune-Susceptible
0.0,0.1,0.15,0.25273348228465303,Immune-Highly Susceptible
0.0,0.1,0.15,0.24802837963129673,Susceptible-Highly Susceptible
0.0,0.1,0.2,0.11808413008886512,Immune-Susceptible
0.0,0.1,0.2,0.25436653531820036,Immune-Highly Susceptible
0.0,0.1,0.2,0.25833818955805543,Susceptible-Highly Susceptible
0.0,0.1,0.25,0.15733596669924407,Immune-Susceptible
0.0,0.1,0.25,0.26452015309998755,Immune-Highly Susceptible
0.0,0.1,0.25,0.2675646860956601,Susceptible-Highly Susceptible
0.0,0.1,0.3,0.1349321975034747,Immune-Susceptible
0.0,0.1,0.3,0.2893359692056562,Immune-Highly Susceptible
0.0,0.1,0.3,0.2845089423444781,Susceptible-Highly Susceptible
0.0,0.1,0.35,0.1228056085045718,Immune-Susceptible
0.0,0.1,0.35,0.287813627886461,Immune-Highly Susceptible
0.0,0.1,0.35,0.2823441164587448,Susceptible-Highly Susceptible
0.0,0.1,0.4,0.13887600717610415,Immune-Susceptible
0.0,0.1,0.4,0.3303467317920882,Immune-Highly Susceptible
0.0,0.1,0.4,0.325710123087328,Susceptible-Highly Susceptible
0.0,0.1,0.45,0.1283328703779053,Immune-Susceptible
0.0,0.1,0.45,0.31163701030730856,Immune-Highly Susceptible
0.0,0.1,0.45,0.3119407346607753,Susceptible-Highly Susceptible
0.0,0.1,0.5,0.1318056071933881,Immune-Susceptible
0.0,0.1,0.5,0.29474075347503864,Immune-Highly Susceptible
0.0,0.1,0.5,0.288084612405168,Susceptible-Highly Susceptible
0.0,0.1,0.55,0.135755601011343,Immune-Susceptible
0.0,0.1,0.55,0.3231753013229928,Immune-Highly Susceptible
0.0,0.1,0.55,0.3162315849613576,Susceptible-Highly Susceptible
0.0,0.1,0.6,0.156417186649096,Immune-Susceptible
0.0,0.1,0.6,0.35650027747606694,Immune-Highly Susceptible
0.0,0.1,0.6,0.3482190997045829,Susceptible-Highly Susceptible
0.0,0.1,0.65,0.14936356863288824,Immune-Susceptible
0.0,0.1,0.65,0.36408192331141276,Immune-Highly Susceptible
0.0,0.1,0.65,0.3775742036369473,Susceptible-Highly Susceptible
0.0,0.1,0.7,0.16844606188013742,Immune-Susceptible
0.0,0.1,0.7,0.35150375651018856,Immune-Highly Susceptible
0.0,0.1,0.7,0.3429130832274536,Susceptible-Highly Susceptible
0.0,0.1,0.75,0.18341251438648512,Immune-Susceptible
0.0,0.1,0.75,0.38934120774299663,Immune-Highly Susceptible
0.0,0.1,0.75,0.3758759339941395,Susceptible-Highly Susceptible
0.0,0.1,0.8,0.18277905285331103,Immune-Susceptible
0.0,0.1,0.8,0.37781450374034253,Immune-Highly Susceptible
0.0,0.1,0.8,0.3750409869077249,Susceptible-Highly Susceptible
0.0,0.1,0.85,0.19343561376379578,Immune-Susceptible
